year,ind,age,sex,life_history,territory
3,117,3,male,floater,
3,118,3,male,floater,
3,119,3,male,floater,
3,120,3,male,floater,
3,121,3,male,floater,
3,122,3,male,floater,
3,123,3,male,floater,
3,124,3,male,floater,
3,125,3,male,floater,
3,126,3,male,floater,
3,127,3,male,floater,
3,128,3,male,floater,
3,129,3,male,floater,
3,130,3,male,floater,
3,131,3,male,floater,
3,132,3,male,floater,
3,133,3,male,floater,
3,134,3,male,floater,
3,135,3,male,floater,
3,136,3,male,floater,
3,137,3,male,floater,
3,138,3,male,floater,
3,139,3,male,floater,
3,140,3,male,floater,
3,141,3,male,floater,
3,142,3,male,floater,
3,143,3,male,floater,
3,144,3,male,floater,
3,145,3,male,floater,
3,146,3,male,floater,
3,147,3,male,floater,
3,148,3,male,floater,
3,150,3,female,floater,
3,151,3,female,floater,
3,152,3,female,floater,
3,153,3,female,floater,
3,154,3,female,floater,
3,155,3,female,floater,
3,156,3,female,floater,
3,157,3,female,floater,
3,158,3,female,floater,
3,159,3,female,floater,
3,160,3,female,floater,
3,161,3,female,floater,
3,162,3,female,floater,
3,163,3,female,floater,
3,164,3,female,floater,
3,165,3,female,floater,
3,166,3,female,floater,
3,167,3,female,floater,
3,168,3,female,floater,
3,169,3,female,floater,
3,170,3,female,floater,
3,171,3,female,floater,
3,172,3,female,floater,
3,173,3,female,floater,
3,174,3,female,floater,
3,175,3,female,floater,
3,176,3,female,primary,1.0
3,177,3,female,floater,
3,178,3,female,floater,
3,179,3,female,floater,
3,180,3,female,primary,5.0
3,182,3,female,floater,
3,183,3,female,floater,
3,184,3,female,floater,
3,185,3,female,floater,
3,186,3,female,floater,
3,187,3,female,floater,
3,188,3,female,floater,
3,189,3,female,floater,
3,190,3,female,floater,
3,191,3,female,floater,
3,192,3,female,floater,
3,193,3,female,floater,
3,194,3,female,floater,
3,195,3,female,floater,
3,196,3,female,floater,
3,197,3,female,floater,
3,198,3,female,floater,
3,199,3,female,floater,
3,200,3,female,floater,
3,201,3,female,floater,
3,202,3,female,floater,
3,203,3,female,floater,
3,204,3,female,floater,
3,205,3,female,floater,
3,206,3,female,floater,
3,207,3,female,floater,
3,208,3,female,floater,
3,209,3,female,floater,
3,210,3,female,primary,3.0
3,211,3,female,floater,
3,212,3,female,floater,
3,213,3,female,floater,
3,215,3,female,floater,
3,216,3,female,floater,
3,217,3,female,floater,
3,218,3,female,floater,
3,219,3,female,floater,
3,220,3,female,floater,
3,221,3,female,floater,
3,222,3,female,floater,
3,223,3,female,floater,
3,224,3,female,floater,
3,225,3,female,floater,
3,226,3,female,floater,
3,229,3,female,floater,
3,230,3,female,floater,
3,231,3,female,floater,
3,232,3,female,floater,
3,234,3,female,floater,
3,235,3,female,floater,
3,236,3,female,floater,
3,237,3,female,floater,
3,238,3,female,floater,
3,239,3,female,floater,
3,240,3,female,floater,
3,241,3,female,floater,
3,243,3,female,floater,
3,244,3,female,floater,
3,245,3,female,floater,
3,246,3,female,floater,
3,247,3,female,floater,
3,248,3,female,floater,
3,249,3,female,floater,
3,250,3,female,floater,
3,251,3,female,floater,
3,252,3,female,floater,
3,253,3,female,floater,
3,254,3,female,floater,
3,256,3,female,floater,
3,257,3,female,floater,
3,258,3,female,floater,
3,259,3,female,floater,
3,260,3,female,floater,
3,261,3,female,floater,
3,262,3,female,floater,
3,263,3,female,floater,
3,264,3,female,floater,
